,word,freq
38492,fact,6
39004,widget,6
39529,Smart,6
36505,0,6
13011,hearing,6
40687,questions,6
38770,corners,6
42489,SMS,6
37804,area,6
42270,advance,6
17501,videos,6
20781,voices,6
19759,image,6
19758,saved,6
44342,thanks,6
31309,spoken,6
27692,output,6
36782,Or,6
38222,mean,5
11363,hardware,5
8175,Apple,5
31949,connection,5
28598,extremely,5
21390,actions,5
27294,color,5
12814,он,5
11353,increase,5
23560,Did,5
27295,drop,5
31327,pair,5
9833,key,5
46277,marks,5
21376,Okay,5
21392,dictate,5
12813,но,5
38158,"""Note",5
23320,prior,5
41485,box,5
41415,difference,5
2263,spelling,5
24854,dots,5
7207,unlocking,5
37227,standard,5
28613,responses,5
27243,hate,5
41032,moved,5
44636,probably,5
35457,ebook,5
7739,mine,5
6608,everywhere,5
8846,finished,5
25460,stopping,5
31945,connecting,5
12468,returned,5
40089,tries,5
14134,supported,5
41477,brand,5
12465,5G,5
32349,telling,5
46670,cancel,5
7136,Everything,5
31955,choose,5
1348,kind,5
30064,pixelphone,5
8115,select,5
7238,At,5
46892,deactivated,5
9557,bass,5
41637,bit,5
14274,retraining,5
17327,off?,5
41648,exactly,5
18818,finish,5
26720,replaced,5
46293,mark,5
42787,looking,5
29148,pull,5
25444,Screen,5
39340,Restarting,5
1773,Before,5
46695,"""what's",5
37541,cool,5
6602,means,5
13408,X,5
9859,least,5
32958,advice,5
23578,Ambient,5
23303,previously,5
41558,actual,5
46685,identify,5
46069,card,5
27344,Pie,5
5328,it'll,5
23300,mini,5
45724,clicking,5
10815,showing,5
10818,small,5
38205,interface,5
30210,secondary,5
43452,avail,5
24219,transfer,5
37371,gmail,5
37368,black,5
30352,bla,5
26882,table,5
14026,double,5
45767,events,5
30390,discovered,5
38174,notes,5
18152,3xl,5
11013,functions,5
16959,anywhere,5
11458,audible,5
30357,Keep,5
46836,triggers,5
37427,heard,5
32391,along,5
34662,feed,5
34915,occurred,5
8380,"device""",5
13470,seemed,5
29517,spent,5
18188,physically,5
21838,rep,5
2782,despite,5
16944,otherwise,5
32968,best,5
27174,UI,5
24235,Store,5
12484,Get,5
13117,sends,5
44491,services,5
37509,clock,5
37521,blank,5
33997,disabling,5
46247,helped,5
17331,activation,5
13943,purchase,5
6342,15,5
43444,uninstalling,5
15629,side,5
36163,guess,5
8152,station,5
18128,team,5
41759,feedback,5
1977,verify,5
38363,totally,5
6774,log,5
15171,Pixel5,5
6068,post,5
29343,OS,5
3435,Disturb,5
36654,constantly,5
46355,You,5
12895,sites,5
38776,Q,5
20410,came,5
29810,replacement,5
19903,leave,5
46346,Instead,5
34417,notice,5
11115,reinstall,5
10259,2021,5
17926,each,5
37,From,5
42303,в,5
39657,reply,5
36952,Spanish,5
28448,Driving,5
41866,money,5
33085,We,5
24060,guys,5
47174,Larry,5
30624,Jane,5
9466,frequency,5
15856,ways,4
28919,appeared,4
36947,c,4
15872,helps,4
47125,sending,4
18595,hitting,4
7522,follow,4
46616,Here,4
20317,30,4
31064,DND,4
36744,Clock,4
5289,answering,4
10631,January,4
26312,с,4
20996,earbud,4
23110,suggestion,4
23111,She,4
32257,details,4
13561,See,4
32910,yes,4
30783,BACK,4
15871,temporarily,4
13530,gestures,4
35402,@Voice,4
46435,rebooting,4
10274,Issue,4
18004,u,4
10735,problem?,4
30782,TALK,4
43541,writes,4
18682,back?,4
33263,8,4
39653,impossible,4
7377,i'm,4
24962,Gboard,4
2105,runs,4
5096,trusted,4
25372,Calendar,4
20467,Google's,4
13257,existing,4
5037,m,4
34454,keys,4
25813,Ever,4
12387,Restarted,4
19789,taken,4
35608,100%,4
22846,us,4
20319,sources,4
12716,entirely,4
41796,Text,4
7646,bedroom,4
30625,"Doe""",4
20977,headsets,4
27528,separate,4
36741,alarms,4
9379,continue,4
13363,trained,4
23639,activating,4
12830,assitant,4
33696,course,4
19090,youll,4
10276,resolved,4
12778,flawlessly,4
20484,bugs,4
45067,years,4
8450,aware,4
27558,saver,4
31128,switched,4
34317,whole,4
4230,history,4
22949,blue,4
15373,further,4
27452,normally,4
25964,WiFi,4
16335,seeing,4
22584,program,4
4742,Previously,4
27461,buggy,4
19724,Rebooted,4
21136,launching,4
5744,texts,4
47009,ongoing,4
6345,assist,4
5627,him,4
9931,Make,4
10628,Security,4
16338,redundant,4
21160,touching,4
12646,playlist,4
46652,mentioned,4
18059,half,4
46428,Account,4
21182,sort,4
42207,PIXEL,4
42218,sense,4
10965,maybe,4
17742,dial,4
16196,ensure,4
35095,perform,4
12696,picked,4
6238,de,4
20447,awesome,4
8554,numbers,4
3955,install,4
27489,on?,4
38652,riding,4
3581,troubleshoot,4
2838,recordings,4
4922,"""Sorry",4
4182,Recently,4
2666,Will,4
27849,2019,4
3958,short,4
20388,hard,4
40387,allows,4
18427,4xl,4
20434,third,4
46460,purchased,4
25956,obviously,4
23786,ALL,4
23833,Device,4
29020,solutions,4
9945,One,4
25327,appreciate,4
33267,sleep,4
2941,aloud,4
18570,forums,4
36277,photo,4
16327,searched,4
12309,write,4
24348,NOT,4
38384,spotify,4
29290,love,4
556,Location,4
46558,task,4
4945,pages,4
3595,g,4
5180,speed,4
15056,big,4
4860,posts,4
25339,gesture,4
14663,assistente,4
420,little,4
44254,squeezing,4
20352,window,4
29636,night,4
14495,attempt,4
744,complete,4
12908,www,4
37849,Services,4
6438,pressed,4
11884,What's,4
47546,shouldn't,4
14504,facebook,4
5571,"phone""",4
8442,basic,4
23712,nearby,4
11229,game,4
42669,2016,4
28959,confirmed,4
33199,min,4
32578,others,4
15693,accidentally,4
1481,putting,4
20599,choice,4
4025,phrases,4
36817,decided,4
31602,light,4
36825,Today,4
4389,Samsung,4
36807,lost,4
2628,Want,4
42256,begin,4
19870,usb,4
29284,im,4
18638,entire,4
4094,That,4
20632,Pixels,4
42011,signed,4
37998,took,4
35220,size,4
1853,reference,4
29928,bubble,4
23668,lot,4
35604,understands,4
41865,real,4
45587,care,4
11260,guidance,4
41853,claim,4
36883,seconds,4
2590,comma,4
41836,s,4
5063,male,4
22833,resolve,4
42119,I’m,4
31688,business,4
27769,"again""",4
31900,Web,4
412,finding,4
415,triggering,4
40484,greatly,4
11245,Maps,4
43388,repeatedly,4
20789,flipkart,4
16206,level,4
26575,gsuite,4
14720,è,4
23982,Accessibility,4
41205,Routine,4
29748,feel,4
32654,GOOGLE,4
38078,"""Google",4
30882,assistant's,4
44557,miss,4
2687,upgrading,4
15312,Italian,4
6426,smartphone,4
33490,o,4
31831,activates,4
42985,friend,4
40860,pin,4
29379,edit,4
24985,deleting,4
26768,cancelling,4
32988,Suite,4
5343,title,4
2998,Next,4
5632,Christmas,4
18536,alert,4
32414,launcher,4
32413,party,4
34821,drive,4
18565,thinks,4
14975,possible?,3
29297,port,3
6227,registered,3
4408,5g,3
39154,instance,3
44044,assuming,3
15153,29,3
36455,convenient,3
3195,"""read",3
29050,essential,3
14839,company,3
4634,opened,3
19982,pressing,3
45973,across,3
1868,offer,3
29434,charger,3
36477,workaround,3
14834,logged,3
36445,login,3
14849,paid,3
11842,Use,3
32020,stuff,3
28164,resumes,3
4418,aids,3
42473,bypass,3
8559,dialer,3
5972,confused,3
14649,di,3
42564,Delete,3
10713,Seems,3
19036,session,3
19012,cause,3
46348,touchscreen,3
47593,thoughts,3
15065,chromecast,3
3,recommended,3
19005,interesting,3
29012,playback,3
18564,consumer,3
28086,"""Good",3
10277,Had,3
31255,robotic,3
35393,problem:,3
19030,Your,3
29319,parts,3
43753,Note,3
12233,somewhere,3
18406,regarding,3
36466,emails,3
15890,requests,3
38929,cable,3
35738,Squeeze,3
15809,rainbow,3
18837,them?,3
15083,"""Turn",3
19269,"moment""",3
4262,doesnt,3
11881,"""Hold",3
19597,Could,3
28630,font,3
43902,movie,3
35799,sensor,3
28640,theme,3
31857,tv,3
1676,causing,3
34366,Clearing,3
7205,Sometimes,3
4276,common,3
12130,replies,3
24877,privacy,3
29560,tool,3
42902,la,3
42905,mi,3
15030,Asking,3
6890,forth,3
45475,customer,3
19542,afterwards,3
29401,enabling,3
31661,Hue,3
12196,cleaned,3
19688,Assistance,3
42816,AirBnB,3
14765,Hello!,3
35812,basically,3
42821,Check,3
19678,TalkBack,3
15813,"""Hi",3
43133,known,3
42836,you're,3
43920,movies,3
33830,tired,3
25137,10+,3
29475,thru,3
15845,have:,3
18488,prompted,3
43406,occur,3
43408,intended,3
15105,Works,3
1744,adjust,3
12149,failed,3
33803,happen?,3
36092,states,3
43454,Turning,3
18199,incredibly,3
857,product,3
28772,Im,3
19414,wireless,3
15085,living,3
46220,tech,3
19407,teams,3
15716,OR,3
19350,it’s,3
14731,per,3
31715,Same,3
24860,timers,3
10908,accounts,3
852,saw,3
46211,LG,3
12135,Getting,3
6883,„light,3
10792,exit,3
35776,upside,3
35504,ebooks,3
43480,position,3
43877,early,3
6215,"""Assistant",3
29543,line,3
24833,inconsistent,3
18157,continuously,3
33828,sick,3
24840,troubleshooting,3
10584,downloading,3
6873,they're,3
19486,Turned,3
1533,Would,3
11879,sign,3
18823,silence,3
642,scrolling,3
35792,finger,3
18773,kept,3
29177,thinking,3
4476,everytime,3
12127,assistant?,3
17964,automatic,3
28335,connects,3
19110,n,3
24902,test,3
43248,included,3
15070,users,3
19132,charge,3
28964,exist,3
28351,forum,3
10656,repeat,3
1627,"""What's",3
33845,solution?,3
45420,Other,3
6843,hang,3
7309,considering,3
35655,unusable,3
46322,February,3
1452,Chinese,3
1333,nest,3
7303,causes,3
7090,removing,3
18620,up?,3
17956,situation,3
1317,Cannot,3
35919,picking,3
42585,dictation,3
33854,Google',3
25216,hangs,3
39143,wheel,3
25202,frequently,3
46339,Another,3
7348,me?,3
25028,Everytime,3
7336,explanation,3
28410,showed,3
29594,Somehow,3
31658,instantly,3
12154,Upon,3
47552,based,3
28901,harder,3
46299,spelled,3
35739,sensitivity,3
34012,fixed?,3
29116,examples,3
15130,=,3
18049,cuz,3
43162,become,3
36257,saying:,3
43156,minute,3
18880,Oddly,3
25064,Waze,3
25151,official,3
25144,Mike,3
43393,message:,3
14787,normal?,3
10372,caller,3
19802,Support,3
39115,community,3
18001,price,3
35654,nearly,3
29252,management,3
7270,chance,3
35732,exists,3
31964,loading,3
29613,provide,3
4369,Canada,3
28911,persist,3
41642,ideas?,3
29732,liked,3
6490,3A,3
33411,"""what",3
13800,sides,3
22512,blind,3
40710,watch,3
26461,ассистент,3
1069,vocally,3
26460,если,3
26456,через,3
22573,Restart,3
22576,Force,3
13771,everyone,3
22593,Open,3
34507,wallpaper,3
22601,downloads,3
5740,specifically,3
47016,shortcut,3
37800,quiet,3
9428,regular,3
9429,track,3
11547,Simple,3
46941,pictures,3
22360,None,3
22377,Sony,3
13835,que,3
40799,scores,3
30494,"""Call",3
24129,casting,3
45703,XYZ,3
37754,sorry,3
5730,Cortana,3
9391,news',3
9687,4A,3
40563,HELP,3
6122,force,3
16637,Something,3
26411,только,3
9347,kitchen,3
22747,Rackspace,3
40539,Microphone,3
26407,вызове,3
37866,messaging,3
26406,при,3
26399,же,3
37850,hasn't,3
40609,These,3
16679,firmware,3
40626,Where,3
38512,motion,3
40618,"""Squeeze",3
34798,Being,3
2977,Am,3
22683,provider,3
38508,items,3
2596,Yes,3
1086,current,3
39407,tapping,3
33500,para,3
27001,links,3
8850,rings,3
6104,Suddenly,3
44573,background,3
46824,his,3
33493,sem,3
21905,mostly,3
38566,Assistant's,3
16972,thanks!,3
30375,"bla""",3
32885,ID,3
27058,apparently,3
21736,description,3
27112,moment,3
15296,places,3
30313,passwords,3
30320,Really,3
44547,female,3
44597,Fi,3
16834,family,3
44667,Ann,3
44672,Anne,3
40917,account?,3
26618,beginning,3
13886,"""assistant",3
22283,Once,3
45714,lists,3
41059,That's,3
44628,numerous,3
10253,confirmation,3
11509,beeps,3
44824,group,3
30768,DOUBLE,3
16354,ANNOYING,3
26004,backup,3
25676,"""This",3
977,GAssistant,3
39900,lets,3
3545,discover,3
44995,Cleared,3
9093,speakerphone,3
2928,displayed,3
23396,knows,3
40050,shuffle,3
16391,happened?,3
23903,работает,3
32798,shown,3
23904,для,3
25781,Amp,3
23778,symptoms,3
34569,motherboard,3
45173,help!,3
968,ON,3
100,crashing,3
15557,chime,3
44875,red,3
47137,Jerry,3
40398,directions,3
47095,single,3
39530,Switch,3
34749,Quite,3
32625,Kurt,3
32645,IT,3
3572,buying,3
23203,disconnected,3
15418,alerts,3
9151,profiles,3
23094,loudly,3
14430,straight,3
46586,fail,3
11268,"""okay",3
15204,less,3
33092,module,3
37017,pass,3
17376,pandora,3
2160,flight,3
21127,launched,3
46643,closes,3
42260,mp3,3
6757,major,3
17234,representative,3
9844,amber,3
44489,vs,3
18337,routed,2
31733,affect,2
30769,TAP,2
982,flashlight,2
15151,34,2
4572,closing,2
18008,games,2
30046,doors,2
15148,Pixel2,2
11935,multi,2
15765,step,2
29658,dead,2
44021,synced,2
6496,files,2
17785,disturb,2
11843,Hold,2
16371,requesting,2
44018,Photos,2
